file	identifier	format	record_url	rights_or_policy	source	attribution_or_status	citation
1crn.bcif	1CRN	BinaryCIF	https://doi.org/10.2210/pdb1CRN/pdb	CC0-1.0	RCSB PDB / wwPDB	Hendrickson, W.A.; Teeter, M.M.; primary citation Teeter, M.M. (1984) Proc Natl Acad Sci U S A 81:6014-6018	https://doi.org/10.1073/pnas.81.19.6014
1FYY.cif	1FYY	mmCIF	https://doi.org/10.2210/pdb1FYY/pdb	CC0-1.0	RCSB PDB / wwPDB	Volk, D.E.; Rice, J.S.; Luxon, B.A.; Yeh, H.J.C.; Liang, C.; Xie, G.; Sayer, J.M.; Jerina, D.M.; Gorenstein, D.G.; primary citation Biochemistry 39:14040-14053 (2000)	https://doi.org/10.1021/bi001669l
9M1U.pdb	9M1U	PDB	https://doi.org/10.2210/pdb9M1U/pdb	CC0-1.0	RCSB PDB / wwPDB	Liu, H.; Zhang, X.; Xu, H.E.; primary citation Zhang, X. et al. (2026), EMBO J.	https://doi.org/10.1038/s44318-026-00823-y
9q12.pdb	9Q12	PDB	https://doi.org/10.2210/pdb9Q12/pdb	CC0-1.0	RCSB PDB / wwPDB	Wang, Y.; Liu, B.; He, Y.; Feigon, J.; literature status to be published	N/A
9R1O.pdb	9R1O	PDB	https://doi.org/10.2210/pdb9R1O/pdb	CC0-1.0	RCSB PDB / wwPDB	Petrenas, R.; Ozga, K.; Chubb, J.J.; Woolfson, D.N.; literature status to be published	
9Z4O.pdb	9Z4O	PDB	https://doi.org/10.2210/pdb9Z4O/pdb	CC0-1.0	RCSB PDB / wwPDB	Ge, Y.; de Almeida Magalhaes, T.; Wu, H.; Yadav, G.P.; Wang, Z.; Salic, A.; Jiang, J.; Huang, P.; literature status to be published	
ethanol.xyz	PubChem CID 702 / conformer 000002BE00000001	XYZ	https://pubchem.ncbi.nlm.nih.gov/compound/702	PubChem-generated information is available without cost and without restriction; see PubChem and NCBI policies	PubChem / PubChem3D	Retrieved through PUG REST on 2026-08-24 and transcribed from SDF without coordinate or atom-order changes	https://doi.org/10.1093/nar/gkae1059
benzene.xyz	PubChem CID 241 / conformer 000000F100000001	XYZ	https://pubchem.ncbi.nlm.nih.gov/compound/241	PubChem-generated information is available without cost and without restriction; see PubChem and NCBI policies	PubChem / PubChem3D	Retrieved through PUG REST on 2026-08-24 and transcribed from SDF without coordinate or atom-order changes	https://doi.org/10.1093/nar/gkae1059
aspirin.xyz	PubChem CID 2244 / conformer 000008C400000001	XYZ	https://pubchem.ncbi.nlm.nih.gov/compound/2244	PubChem-generated information is available without cost and without restriction; see PubChem and NCBI policies	PubChem / PubChem3D	Retrieved through PUG REST on 2026-08-24 and transcribed from SDF without coordinate or atom-order changes	https://doi.org/10.1093/nar/gkae1059
caffeine.xyz	PubChem CID 2519 / conformer 000009D700000001	XYZ	https://pubchem.ncbi.nlm.nih.gov/compound/2519	PubChem-generated information is available without cost and without restriction; see PubChem and NCBI policies	PubChem / PubChem3D	Retrieved through PUG REST on 2026-08-24 and transcribed from SDF without coordinate or atom-order changes	https://doi.org/10.1093/nar/gkae1059
